year,month,male_0_4,m_5_14,m_15_24,m_25_34,m_35_44,m_45_54,m_55_64,m_65_74,m_75_plus,f_0_4,f_5_14,f_15_24,f_25_34,f_35_44,f_45_54,f_55_64,f_65_74,f_75_plus,total_list_size
2015,2015-06-01,1735883,3312576,3522304,4070736,3961024,4146074,3197793,2579726,1862242,1651229,3159398,3521580,4104607,3745266,3967579,3168360,2742252,2575527,57024156
2017,2017-08-01,1699943,3498031,3463865,4223416,4033147,4225103,3391995,2705978,1948111,1615555,3333009,3462354,4257073,3810526,4031307,3339214,2871948,2628121,58538696
2012,2012-09-01,1730888,3177115,3585536,3959693,4048743,4030883,3141783,2384010,1747763,1647820,3030350,3539779,3962627,3812695,3840232,3128141,2540782,2510273,55819113
2013,2013-04-01,1738008,3206780,3554217,3971190,3969606,4049208,3130927,2452039,1777363,1654490,3056947,3535008,4016628,3772161,3882121,3121268,2613359,2524007,56025327
2014,2014-05-01,1741315,3251083,3536619,4030399,3946135,4103343,3153685,2521103,1824151,1656739,3100036,3528684,4044709,3726751,3922923,3131373,2679809,2556274,56455131
2018,2018-09-01,1679056,3566541,3474229,4301494,4108993,4225284,3497355,2737953,2011259,1595641,3398174,3473303,4318124,3874266,4019389,3434376,2904127,2677767,59297331
2017,2017-10-01,1696284,3514486,3475969,4239342,4047663,4228673,3408025,2711504,1959941,1612802,3348689,3480768,4270809,3822378,4032640,3353985,2876845,2639118,58719921
2015,2015-02-01,1736216,3299499,3531376,4066626,3957655,4138028,3183976,2567428,1862072,1651097,3146227,3531589,4098244,3740122,3960919,3156096,2728187,2585760,56941117
2013,2013-11-01,1737986,3228660,3545994,4001225,3953517,4079288,3136917,2489992,1806720,1653608,3078266,3535098,4054456,3756384,3912045,3125257,2651474,2545780,56292667
2018,2018-04-01,1686480,3547050,3482482,4277995,4076790,4228760,3456764,2721867,1977668,1603632,3379790,3491521,4301462,3846416,4028521,3398455,2888092,2645850,59039595
2018,2018-01-01,1689651,3533298,3483591,4260075,4063645,4232279,3432413,2717006,1972195,1605937,3367137,3494239,4287302,3835519,4033626,3375160,2882578,2648495,58914146
2017,2017-02-01,1714074,3451432,3484429,4170183,4006595,4214823,3333596,2682042,1920472,1629103,3289541,3491372,4218641,3790942,4029174,3288316,2846229,2610635,58171599
2018,2018-11-01,1676823,3579741,3497519,4319872,4125083,4223817,3514101,2743057,2023437,1593082,3410940,3509223,4333708,3888317,4016622,3449528,2909474,2689033,59503377
2015,2015-10-01,1733083,3351532,3508665,4088732,3977529,4166601,3233441,2612212,1886382,1647694,3195084,3511986,4136115,3764254,3987102,3199621,2774622,2594025,57368680
2018,2018-12-01,1678026,3584241,3501427,4328265,4132473,4224747,3521823,2744427,2026567,1594237,3415178,3514224,4338646,3894124,4016222,3456901,2911102,2691820,59574450
2015,2015-09-01,1733288,3326919,3504914,4073410,3967082,4157577,3215317,2596973,1874320,1648112,3172037,3498364,4114842,3751321,3976810,3183521,2759875,2583758,57138440
2016,2016-02-01,1727060,3372376,3505852,4109847,3984162,4179625,3252373,2625903,1891605,1642078,3215066,3509628,4158623,3770218,3998276,3216192,2789804,2595249,57543937
2017,2017-11-01,1694892,3521337,3484638,4247854,4053230,4229870,3415746,2713482,1964661,1610990,3355444,3495265,4279284,3827955,4033615,3360666,2879068,2643290,58811287
2011,2011-01-01,1682928,3159592,3595301,3897102,4178519,3940089,3195306,2231155,1681494,1603277,3013111,3554649,3860498,3905405,3732998,3169887,2381240,2474094,55256645
2011,2011-08-01,1701996,3159432,3576270,3889263,4121242,3959240,3191819,2259247,1701610,1620692,3013263,3531736,3873319,3869446,3765348,3174806,2412111,2483651,55304491
2013,2013-10-01,1737986,3228660,3545994,4001225,3953517,4079288,3136917,2489992,1806720,1653608,3078266,3535098,4054456,3756384,3912045,3125257,2651474,2545780,56292667
2014,2014-06-01,1741315,3251083,3536619,4030399,3946135,4103343,3153685,2521103,1824151,1656739,3100036,3528684,4044709,3726751,3922923,3131373,2679809,2556274,56455131
2018,2018-03-01,1688891,3543503,3484713,4273931,4073835,4230824,3448287,2719023,1972941,1605765,3376359,3494808,4298552,3844315,4031181,3389855,2885284,2642957,59005024
2011,2011-06-01,1696569,3157829,3587948,3890694,4147469,3948713,3196375,2240109,1686489,1616050,3011848,3548781,3864344,3885959,3748935,3175762,2392216,2471699,55267789
2016,2016-11-01,1721872,3404637,3480115,4127549,3980462,4195498,3287146,2659159,1901340,1636861,3244432,3477589,4176997,3768387,4014346,3247521,2824050,2596853,57744814
2012,2012-08-01,1730888,3177115,3585536,3959693,4048743,4030883,3141783,2384010,1747763,1647820,3030350,3539779,3962627,3812695,3840232,3128141,2540782,2510273,55819113
2015,2015-01-01,1736216,3299499,3531376,4066626,3957655,4138028,3183976,2567428,1862072,1651097,3146227,3531589,4098244,3740122,3960919,3156096,2728187,2585760,56941117
2018,2018-10-01,1676187,3573755,3487983,4309417,4117264,4223941,3505065,2740688,2018587,1592805,3405501,3495112,4328362,3883548,4017943,3441786,2907058,2684694,59409696
2015,2015-08-01,1733288,3326919,3504914,4073410,3967082,4157577,3215317,2596973,1874320,1648112,3172037,3498364,4114842,3751321,3976810,3183521,2759875,2583758,57138440
2013,2013-02-01,1737393,3201118,3583558,3992748,4022259,4056024,3134498,2432532,1771593,1653935,3052196,3552695,4011210,3794754,3871135,3120586,2592138,2525946,56106318
2017,2017-07-01,1703210,3491823,3468856,4216517,4029671,4223917,3384047,2702853,1941747,1618204,3327716,3468820,4253090,3806951,4031471,3332611,2868958,2622079,58492541
2015,2015-04-01,1735883,3312576,3522304,4070736,3961024,4146074,3197793,2579726,1862242,1651229,3159398,3521580,4104607,3745266,3967579,3168360,2742252,2575527,57024156
2012,2012-12-01,1734424,3191526,3591810,3979672,4037592,4044763,3134714,2411320,1762674,1650586,3043560,3553921,3988964,3805348,3856824,3121528,2569444,2521400,56000070
2017,2017-03-01,1714074,3451432,3484429,4170183,4006595,4214823,3333596,2682042,1920472,1629103,3289541,3491372,4218641,3790942,4029174,3288316,2846229,2610635,58171599
2012,2012-07-01,1730888,3177115,3585536,3959693,4048743,4030883,3141783,2384010,1747763,1647820,3030350,3539779,3962627,3812695,3840232,3128141,2540782,2510273,55819113
2014,2014-08-01,1739285,3262161,3524841,4041223,3946758,4116794,3163322,2538589,1840369,1655151,3110462,3514073,4050411,3722768,3933955,3138686,2697499,2570707,56567054
2014,2014-12-01,1739799,3281431,3535014,4059611,3956047,4131124,3173550,2555029,1856514,1654719,3129345,3531523,4076474,3732650,3948770,3147961,2715013,2584798,56809372
2017,2017-01-01,1714074,3451432,3484429,4170183,4006595,4214823,3333596,2682042,1920472,1629103,3289541,3491372,4218641,3790942,4029174,3288316,2846229,2610635,58171599
2015,2015-05-01,1735883,3312576,3522304,4070736,3961024,4146074,3197793,2579726,1862242,1651229,3159398,3521580,4104607,3745266,3967579,3168360,2742252,2575527,57024156
2010,2010-12-01,1673376,3157996,3597366,3895879,4212020,3930825,3196665,2224731,1675085,1594535,3011779,3553550,3846858,3924724,3712903,3166263,2371324,2472495,55218374
2018,2018-08-01,1680062,3561190,3476362,4295542,4100912,4225694,3488882,2735215,2004615,1596995,3393314,3477137,4312202,3865930,4020401,3427397,2900835,2671728,59234413
2015,2015-03-01,1736216,3299499,3531376,4066626,3957655,4138028,3183976,2567428,1862072,1651097,3146227,3531589,4098244,3740122,3960919,3156096,2728187,2585760,56941117
2010,2010-11-01,1673376,3157996,3597366,3895879,4212020,3930825,3196665,2224731,1675085,1594535,3011779,3553550,3846858,3924724,3712903,3166263,2371324,2472495,55218374
2011,2011-11-01,1709058,3167111,3593680,3913148,4107979,3982261,3184320,2286639,1716373,1626515,3021797,3551622,3901902,3859659,3788727,3168331,2440025,2495790,55514937
2013,2013-07-01,1737778,3214013,3538431,3980647,3955471,4062835,3133370,2470542,1790702,1653369,3064637,3516410,4029297,3757836,3894543,3123050,2631244,2532347,56086522
2013,2013-05-01,1738008,3206780,3554217,3971190,3969606,4049208,3130927,2452039,1777363,1654490,3056947,3535008,4016628,3772161,3882121,3121268,2613359,2524007,56025327
2016,2016-08-01,1728193,3405444,3481912,4131005,3982148,4196665,3287679,2658994,1899386,1642691,3245219,3480444,4180097,3769686,4015165,3247987,2824084,2594403,57771202
2016,2016-09-01,1728193,3405444,3481912,4131005,3982148,4196665,3287679,2658994,1899386,1642691,3245219,3480444,4180097,3769686,4015165,3247987,2824084,2594403,57771202
2017,2017-05-01,1704588,3478682,3473784,4200169,4020514,4220161,3365483,2696152,1930353,1619466,3314866,3477826,4240338,3800521,4030571,3316378,2862055,2612251,58364158
2014,2014-10-01,1739799,3281431,3535014,4059611,3956047,4131124,3173550,2555029,1856514,1654719,3129345,3531523,4076474,3732650,3948770,3147961,2715013,2584798,56809372
2016,2016-07-01,1728193,3405444,3481912,4131005,3982148,4196665,3287679,2658994,1899386,1642691,3245219,3480444,4180097,3769686,4015165,3247987,2824084,2594403,57771202
2012,2012-03-01,1713483,3170049,3600502,3927823,4085840,3997130,3168235,2316206,1726378,1630952,3025001,3560122,3924185,3845865,3805901,3153979,2471004,2501454,55624109
2015,2015-12-01,1733083,3351532,3508665,4088732,3977529,4166601,3233441,2612212,1886382,1647694,3195084,3511986,4136115,3764254,3987102,3199621,2774622,2594025,57368680
2011,2011-05-01,1696569,3157829,3587948,3890694,4147469,3948713,3196375,2240109,1686489,1616050,3011848,3548781,3864344,3885959,3748935,3175762,2392216,2471699,55267789
2014,2014-03-01,1738103,3241055,3543381,4017569,3952698,4092095,3144952,2505801,1817580,1653389,3090473,3535837,4070644,3752512,3922769,3132195,2667746,2553548,56432347
2014,2014-04-01,1741315,3251083,3536619,4030399,3946135,4103343,3153685,2521103,1824151,1656739,3100036,3528684,4044709,3726751,3922923,3131373,2679809,2556274,56455131
2013,2013-01-01,1737393,3201118,3583558,3992748,4022259,4056024,3134498,2432532,1771593,1653935,3052196,3552695,4011210,3794754,3871135,3120586,2592138,2525946,56106318
2011,2011-04-01,1696569,3157829,3587948,3890694,4147469,3948713,3196375,2240109,1686489,1616050,3011848,3548781,3864344,3885959,3748935,3175762,2392216,2471699,55267789
2014,2014-07-01,1739285,3262161,3524841,4041223,3946758,4116794,3163322,2538589,1840369,1655151,3110462,3514073,4050411,3722768,3933955,3138686,2697499,2570707,56567054
2012,2012-06-01,1727494,3173694,3597348,3940175,4061300,4013633,3150990,2351577,1732454,1644234,3027782,3554817,3940630,3825712,3823410,3137334,2507694,2499187,55709465
2016,2016-01-01,1727060,3372376,3505852,4109847,3984162,4179625,3252373,2625903,1891605,1642078,3215066,3509628,4158623,3770218,3998276,3216192,2789804,2595249,57543937
2012,2012-10-01,1734424,3191526,3591829,3979697,4037606,4044774,3134716,2411320,1762674,1650586,3043560,3553921,3988964,3805349,3856826,3121528,2569444,2521400,56000144
2012,2012-04-01,1727494,3173694,3597348,3940175,4061300,4013633,3150990,2351577,1732454,1644234,3027782,3554817,3940630,3825712,3823410,3137334,2507694,2499187,55709465
2018,2018-02-01,1691339,3539154,3484723,4268629,4070056,4231973,3440907,2717572,1971093,1607443,3372596,3495518,4294860,3841044,4032444,3383323,2883478,2643482,58969634
2016,2016-03-01,1727060,3372376,3505852,4109847,3984162,4179625,3252373,2625903,1891605,1642078,3215066,3509628,4158623,3770218,3998276,3216192,2789804,2595249,57543937
2017,2017-12-01,1695617,3527866,3486022,4256479,4059414,4231333,3423568,2715039,1967407,1611352,3362022,3497695,4286963,3832285,4034245,3368113,2880529,2644928,58880877
2017,2017-09-01,1698687,3505410,3461917,4230862,4039728,4227139,3400470,2708618,1954136,1614536,3339674,3459570,4263337,3815760,4031865,3347251,2874276,2633536,58606772
2016,2016-06-01,1727058,3389329,3494296,4121842,3980574,4187312,3269438,2639271,1892159,1642493,3229941,3498452,4166888,3767351,4006766,3231388,2804780,2590312,57639650
2018,2018-06-01,1683909,3553824,3480011,4286426,4087279,4226896,3473492,2728985,1991283,1601308,3385505,3484926,4304643,3854285,4023844,3413697,2894611,2658676,59133600
2011,2011-10-01,1709058,3167111,3593680,3913148,4107979,3982261,3184320,2286639,1716373,1626515,3021797,3551622,3901902,3859659,3788727,3168331,2440025,2495790,55514937
2018,2018-05-01,1685070,3550049,3481697,4282106,4081719,4227286,3464987,2725262,1983759,1602368,3382495,3489002,4304440,3850439,4026295,3405663,2891322,2651129,59085088
2010,2010-10-01,1673376,3157996,3597366,3895879,4212020,3930825,3196665,2224731,1675085,1594535,3011779,3553550,3846858,3924724,3712903,3166263,2371324,2472495,55218374
2013,2013-06-01,1738008,3206780,3554217,3971190,3969606,4049208,3130927,2452039,1777363,1654490,3056947,3535008,4016628,3772161,3882121,3121268,2613359,2524007,56025327
2013,2013-12-01,1737986,3228660,3545994,4001225,3953517,4079288,3136917,2489992,1806720,1653608,3078266,3535098,4054456,3756384,3912045,3125257,2651474,2545780,56292667
2011,2011-12-01,1709058,3167111,3593680,3913148,4107979,3982261,3184320,2286639,1716373,1626515,3021797,3551622,3901902,3859659,3788727,3168331,2440025,2495790,55514937
2014,2014-01-01,1738103,3241055,3543381,4017569,3952698,4092095,3144952,2505801,1817580,1653389,3090473,3535837,4070644,3752512,3922769,3132195,2667746,2553548,56432347
2012,2012-02-01,1713483,3170049,3600502,3927823,4085840,3997130,3168235,2316206,1726378,1630952,3025001,3560122,3924185,3845865,3805901,3153979,2471004,2501454,55624109
2019,2019-02-01,1674663,3592216,3501791,4338636,4143544,4225084,3538808,2748076,2035675,1590677,3422713,3513933,4342660,3903500,4011894,3472268,2914489,2699046,59669673
2013,2013-03-01,1737393,3201118,3583558,3992748,4022259,4056024,3134498,2432532,1771593,1653935,3052196,3552695,4011210,3794754,3871135,3120586,2592138,2525946,56106318
2012,2012-05-01,1727494,3173694,3597348,3940175,4061300,4013633,3150990,2351577,1732454,1644234,3027782,3554817,3940630,3825712,3823410,3137334,2507694,2499187,55709465
2013,2013-08-01,1737778,3214013,3538431,3980647,3955471,4062835,3133370,2470542,1790702,1653369,3064637,3516410,4029297,3757836,3894543,3123050,2631244,2532347,56086522
2011,2011-03-01,1682928,3159592,3595301,3897102,4178519,3940089,3195306,2231155,1681494,1603277,3013111,3554649,3860498,3905405,3732998,3169887,2381240,2474094,55256645
2017,2017-04-01,1710240,3473336,3477595,4195529,4017149,4219991,3358097,2691797,1924224,1625071,3309965,3483467,4237598,3799045,4031455,3309738,2857816,2606436,58328549
2015,2015-07-01,1733288,3326919,3504914,4073410,3967082,4157577,3215317,2596973,1874320,1648112,3172037,3498364,4114842,3751321,3976810,3183521,2759875,2583758,57138440
2012,2012-01-01,1713483,3170049,3600502,3927823,4085840,3997130,3168235,2316206,1726378,1630952,3025001,3560122,3924185,3845865,3805901,3153979,2471004,2501454,55624109
2016,2016-10-01,1721872,3404637,3480115,4127549,3980462,4195498,3287146,2659159,1901340,1636861,3244432,3477589,4176997,3768387,4014346,3247521,2824050,2596853,57744814
2011,2011-07-01,1701996,3159432,3576270,3889263,4121242,3959240,3191819,2259247,1701610,1620692,3013263,3531736,3873319,3869446,3765348,3174806,2412111,2483651,55304491
2016,2016-12-01,1721872,3404637,3480115,4127549,3980462,4195498,3287146,2659159,1901340,1636861,3244432,3477589,4176997,3768387,4014346,3247521,2824050,2596853,57744814
2016,2016-05-01,1727058,3389329,3494296,4121842,3980574,4187312,3269438,2639271,1892159,1642493,3229941,3498452,4166888,3767351,4006766,3231388,2804780,2590312,57639650
2014,2014-09-01,1739285,3262161,3524841,4041223,3946758,4116794,3163322,2538589,1840369,1655151,3110462,3514073,4050411,3722768,3933955,3138686,2697499,2570707,56567054
2019,2019-01-01,1672463,3587949,3499725,4330269,4136875,4225551,3529951,2746670,2032700,1589229,3418481,3511802,4338515,3898045,4014128,3464376,2913258,2697204,59607191
2011,2011-02-01,1682928,3159592,3595301,3897102,4178519,3940089,3195306,2231155,1681494,1603277,3013111,3554649,3860498,3905405,3732998,3169887,2381240,2474094,55256645
2018,2018-07-01,1682749,3557125,3477261,4290910,4093486,4226364,3480500,2732211,1997221,1599667,3388880,3479626,4308147,3859638,4022101,3419939,2897647,2664691,59178163
2016,2016-04-01,1727058,3389329,3494296,4121842,3980574,4187312,3269438,2639271,1892159,1642493,3229941,3498452,4166888,3767351,4006766,3231388,2804780,2590312,57639650
2017,2017-06-01,1703669,3486004,3472625,4209244,4025970,4222216,3375427,2700075,1936122,1618897,3321972,3474637,4247393,3803699,4030972,3325093,2866116,2617232,58437363
2014,2014-11-01,1739799,3281431,3535014,4059611,3956047,4131124,3173550,2555029,1856514,1654719,3129345,3531523,4076474,3732650,3948770,3147961,2715013,2584798,56809372
2013,2013-09-01,1737778,3214013,3538431,3980647,3955471,4062835,3133370,2470542,1790702,1653369,3064637,3516410,4029297,3757836,3894543,3123050,2631244,2532347,56086522
2014,2014-02-01,1738103,3241055,3543381,4017569,3952698,4092095,3144952,2505801,1817580,1653389,3090473,3535837,4070644,3752512,3922769,3132195,2667746,2553548,56432347
2011,2011-09-01,1701996,3159432,3576270,3889263,4121242,3959240,3191819,2259247,1701610,1620692,3013263,3531736,3873319,3869446,3765348,3174806,2412111,2483651,55304491
2012,2012-11-01,1734424,3191526,3591810,3979672,4037592,4044763,3134714,2411320,1762674,1650586,3043560,3553921,3988964,3805348,3856824,3121528,2569444,2521400,56000070
2015,2015-11-01,1733083,3351532,3508665,4088732,3977529,4166601,3233441,2612212,1886382,1647694,3195084,3511986,4136115,3764254,3987102,3199621,2774622,2594025,57368680
